ACCIDENT_NO,NODE_ID,ROAD_ROUTE_1,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,DISTANCE_LOCATION,DIRECTION_LOCATION
T20230006450,205541,2510,QUEENS,ROAD,ARTHUR,STREET,51,N
T20140013488,272821,9999,WATT,ROAD,MCLENNAN,STREET,349,SE
T20190018462,589104,5790,ELTHAM-YARRA GLEN,ROAD,KANGAROO GROUND-WARRANDYTE,ROAD,7,S
T20140009989,356149,2820,WEST GATE,FREEWAY,BAY,TRAIL,180,NW
T20120026930,41265,5299,HAWTHORN,ROAD,CHARLES,STREET,,S
T20220007169,773905,9999,BOX,STREET,PAPERBARK,STREET,45,W
T20170023163,326150,9999,WOLLASTON,ROAD,SOMMERVILLE,BOULEVARD,74,N
T20160007088,37669,5898,TOORAK,ROAD,YARRA,STREET,,W
T20150008556,29997,5732,MURRAY,ROAD,CHIFLEY,DRIVE,281,W
T20170005424,295299,5164,THOMPSON,ROAD,FERNSIDE,DRIVE,,W
T20250009103,817306,9999,CAPTAINS CREEK,ROAD,BURGAN,TRACK,33,W
T20150000265,27042,9999,MARGINAL,ROAD,WILHELMINA FALLS,ROAD,,N
T20240017938,806389,2500,PRINCES,FREEWAY,PRINCES OUT-CENTRAL OF,RAMP,56,E
T20160000844,298793,5864,MARIBYRNONG,ROAD,DUTTON,LANE,9,W
T20160008463,305807,5515,HIGH,STREET,FINDON,ROAD,117,S
T20210003462,675957,9999,BARRY,ROAD,BARRY,ROAD,18,W
T20140009939,29893,5044,FLEMINGTON,ROAD,ELIZABETH,STREET,,SE
T20130019738,71891,5539,GLENGARRY WEST,ROAD,TRARALGON-MAFFRA,ROAD,,NW
T20230026569,57530,2750,BURWOOD,HIGHWAY,TYNER,ROAD,,W
T20230018751,778835,5574,SNOW,ROAD,WHOROULY RIVER,ROAD,5,NE
T20180021780,50747,2670,BALLARAT,ROAD,GEORGE,STREET,,W
T20220010045,234112,9999,BREDT,STREET,MORONEY,STREET,,N
T20200022155,675240,5805,DONCASTER,ROAD,MACEDON,AVENUE,14,E
T20180010696,331360,5327,BALLARAT-MARYBOROUGH,ROAD,GOLF COURSE,ROAD,306,SE
T20240002923,201140,5840,MARINE,PARADE,GLEN HUNTLY,ROAD,67,NW
T20250005985,817729,2000,MONASH,FREEWAY,WAVERLEY,ROAD,613,NW
T20220001298,718624,9999,MANGANS,ROAD,MAROONDAH,HIGHWAY,9,SE
T20160022296,311206,9999,CLARENDON,STREET,HARRY,STREET,27,E
T20160016025,306151,9999,SWANSTON,STREET,TURNER,ALLEY,9,S
T20180000863,326601,9999,EVANS,STREET,SALEYARD,LANE,38,NE
T20120002295,37825,9999,RICHARDSON,STREET,STATION,STREET,,W
T20170007426,299403,2590,MIDLAND,HIGHWAY,CLYDE HILL,ROAD,,SE
T20240030924,29868,7424,PLENTY-METROPOLITAN RING IN,RAMP,PLENTY,ROAD,,E
T20190006992,360571,2550,HUME,FREEWAY,HUME IN-BROADFORD-WANDONG OF,RAMP,30,N
T20190009883,633850,9999,LYGON,STREET,ARGYLE N,PLACE,55,N
T20180019336,338579,9999,MOUNT WILLIAM,ROAD,YALLA-Y-POORA,ROAD,2452,SE
T20180021569,243047,9999,HIGH,STREET,ROSEBERRY,AVENUE,27,S
T20190025007,612214,9999,TYNONG NORTH,ROAD,PRINCES,FREEWAY,384,N
T20240004327,52729,9999,NAPIER,STREET,VICTORIA,STREET,,N
T20160011668,304805,2550,HUME,FREEWAY,LITHGOW-HUME IN ON,RAMP,605,S
T20120018996,38274,5391,THOMPSONS,ROAD,KILLARNEY,ROAD,,SW
T20180011805,260158,5048,COBURNS,ROAD,COBURNS REV,ROAD SERVICE ROAD,61,S
T20230001590,289646,5840,MARINE PARADE -ORMOND,ESPLANADE,GLEN HUNTLY,ROAD,,NW
T20180023503,343695,9999,SHAFTSBURY,STREET,MUNRO,STREET,93,S
T20230004028,765752,9999,ROCHES,ROAD,BULLOCK TRACK,ROAD,233,W
T20210026499,781656,5493,KINGS,ROAD,GILLESPIE,ROAD,52,N
T20160017303,311268,9999,RAMSAY,ROAD,MATHESON,ROAD,137,NE
T20170000270,312641,9999,LARDNERS,TRACK,GELLIBRAND EAST,ROAD,260,N
T20220021453,782754,5530,SUNSHINE,AVENUE,SUNSHINE FWD,AVENUE SERVICE ROAD,109,NW
T20250001576,813996,9999,CENTRAL PARK,AVENUE,AITKEN,BOULEVARD,153,E
T20140009283,270617,9999,KING PARROT CREEK,ROAD,FAIRVIEW,ROAD,600,S
T20120025743,255120,5397,BEEK,STREET,FOY,STREET,53,SE
T20130005185,57692,4034,POINT NEPEAN,ROAD,ADELAIDE,STREET,,E
T20200018053,50909,9999,MELROSE,DRIVE,SILVA,DRIVE,,S
T20120014101,91,9999,LINCOLN,SQUARE,SWANSTON,STREET,,W
T20220016404,782264,5287,SWAN,STREET,CREMORNE,STREET,8,E
T20130024487,265777,9999,RIDGE,ROAD,NATIVES,TRACK,184,NE
T20130008214,268703,9999,NASH,ROAD,LINTONS,ROAD,510,E
T20140010779,271331,2550,HUME,FREEWAY,HUME OUT-URMSTON OF,RAMP,2346,SW
T20130011203,269097,5783,MOUNTAIN,HIGHWAY,HILTON,ROAD,846,SE
T20200010578,29646,5296,NEERIM,ROAD,GRANGE,ROAD,,W
T20220004149,731402,5736,NICHOLSON,STREET,NEWRY,STREET,77,S
T20210012370,685860,2190,SURFCOAST,HIGHWAY,TORQUAY,ROAD,141,S
T20140001116,233,9999,ELIZABETH,STREET,FLINDERS,STREET,,N
T20200006231,230257,9999,HALL,STREET,HYDE,STREET,,W
T20140019179,52618,2110,WILSON,STREET,URQUHART,STREET,,W
T20230020855,51327,9999,GEORGE,STREET,LEONORA,STREET,,SE
T20120008777,251800,5957,WARBURTON-WOODS POINT,ROAD,FRENCHMANS SPUR,TRACK,82,N
T20220026936,738177,2550,HUME,FREEWAY,METROPOLITAN RING IN-HUME,RAMP,706,N
T20240028870,811357,5520,BALLARAT,ROAD,GORDON,STREET,46,E
T20160006574,301334,5757,FRANKSTON-FLINDERS,ROAD,STONY POINT,ROAD,171,S
T20120007441,41051,9999,ALBERT,AVENUE,BAMBURY,STREET,,SW
T20200007154,122357,5000,EDGARS,ROAD,VICTORIA,DRIVE,13,NW
T20170024176,38663,9999,QUEENSVILLE,STREET,SOMERVILLE,ROAD,,N
T20210006072,37262,9999,BALACLAVA,AVENUE,MERTON,STREET,,W
T20140000437,267115,4890,GREAT OCEAN,ROAD,HARVEY,STREET,55,SW
T20240003781,38227,2850,ROSANNA,ROAD,STATION,ROAD,,S
T20230017865,778882,9999,STERNBERG,STREET,LIGAR,STREET,8,S
T20120014952,252864,9999,DOHERTYS,ROAD,BOLTE ALT,DRIVE,242,W
T20200003814,659145,5960,SOMERTON,ROAD,AUSTRAK,DRIVE,5,W
T20190019849,657123,2510,PRINCES,FREEWAY,NAR NAR GOON-LONGWARRY,ROAD,10,W
T20220004569,705567,5840,ESPLANADE,,WELLINGTON,STREET,149,N
T20130012215,261025,2800,LATROBE,TERRACE,RUSSELL,STREET,23,N
T20240002643,798421,9999,WALKER,STREET,LONSDALE,STREET,27,W
T20240008080,801539,9999,KANGAN,DRIVE,CLYDE,ROAD,445,E
T20180015818,337046,9999,BESSIE CREEK,ROAD,SEYMOUR,ROAD,844,N
T20170007727,354711,5784,DORSET,ROAD,MT DANDENONG,ROAD,16,S
T20140005330,41918,5429,NAPOLEON,ROAD,KELLETTS,ROAD,26,NE
T20230022658,39352,9999,DORKING,ROAD,THAMES,STREET,,N
T20200012347,668312,5298,ST KILDA,STREET,GLEN HUNTLY,ROAD,131,S
T20150003363,286566,5819,PASCOE VALE,ROAD,CAMERON,ROAD,32,NE
T20150010613,289337,2400,SPRINGVALE,ROAD,VISION,DRIVE,80,N
T20210008953,681559,9999,TRESIZE,TRACK,PLANT,ROAD,1646,E
T20220007879,715451,9999,DWYER,STREET,DIANELLA,AVENUE,38,N
T20130009480,224325,5106,CRAIGIEBURN,ROAD,BENSTON,STREET,,W
T20250004160,298501,9999,HOWARD,STREET,MYRTLE,ROAD,,W
T20140005567,270990,2900,WESTERN RING,ROAD,WESTERN RING IN-AIRPORT OF,RAMP,19,NE
T20160013373,38250,2400,MANNINGHAM,ROAD,GREENAWAY,STREET,,NW
T20240019763,342234,9999,WOODS,STREET,OLD PRINCES,HIGHWAY,15,SW
T20130023459,265372,5613,BENGWORDEN,ROAD,BUSHS,ROAD,540,W
T20220016181,718737,9999,MIMOSA,ROAD,BETULA,AVENUE,37,W
T20220002202,731590,5903,CRANBOURNE ROAD -NARRE WARREN,ROAD,GLASSCOCKS,ROAD,228,N
T20140008994,273691,2660,NEPEAN,HIGHWAY,URALLA,ROAD,27,N
T20190014076,118199,9999,LLOYD,STREET,BROWNS HILL,PLACE,35,NE
T20230028683,59157,9999,LEITHEN,STREET,WRIGHT,AVENUE,,N
T20180006712,50343,4031,BELLS,BOULEVARDE,GREAT OCEAN,ROAD,,N
T20140018982,275196,9999,RATHDOWNE,STREET,COLGAN,STREET,,N
T20240000786,1303,5439,BARRY,ROAD,SYDNEY,ROAD,,W
T20190020945,598486,5873,CAMP,ROAD,LAHINCH,STREET,33,W
T20250002960,814740,2080,HODDLE,STREET,GREENWOOD,STREET,43,S
T20140022067,283191,9999,KARINGAL,DRIVE,LIARDET,CRESCENT,10,SW
T20230005329,802134,9999,BARRY,STREET,WIGAN,ROAD,24,W
T20200004345,40493,5801,HIGH,STREET,ALLISON,AVENUE,,W
T20150000093,36940,9999,LITTLE BOURKE,STREET,SWANSTON,STREET,,E
T20210007098,36143,5604,SETTLEMENT,ROAD,TEMPLE,DRIVE,,W
T20130015697,262312,7141,MONASH OUT-FERNTREE GULLY,RAMP,FERNTREE GULLY,ROAD,260,W
T20220007346,712456,2400,BANKSIA,STREET,LOWER HEIDELBERG,ROAD,7,W
T20180013559,332668,9999,BARRY,STREET,DORSET,ROAD,96,W
T20140023370,280387,5320,STATION,STREET,PIEDMONT,STREET,13,N
T20240028415,810633,7076,METROPOLITAN RING IN-HUME,RAMP,METROPOLITAN RING,ROAD,80,NW
T20130014318,33278,4032,FISHER STREET -NEWCOMBE,STREET,NEWCOMBE,STREET,,W
T20170003781,308496,9999,CREVELLI,STREET,NISBETT,STREET,,N
T20210022918,29715,9999,CLOW,STREET,STUART,STREET,,W
T20170002966,38830,9999,BELLAIR,STREET,MACAULAY,ROAD,,NW
T20120019806,38830,9999,BELLAIR,STREET,MACAULAY,ROAD,,NW
T20230009181,769319,5455,HOPKINS,STREET,WHITEHALL,STREET,37,E
T20190020857,595327,9999,QUEEN,STREET,DUKE,STREET,49,W
T20200003651,628993,2660,NEPEAN,HIGHWAY,CENTRE DANDENONG,ROAD,9,NW
T20200000106,809908,9999,LANGTREE,AVENUE,TENTH,STREET,79,NE
T20200009582,652912,5805,DONCASTER,ROAD,BALWYN,ROAD,10,W
T20140024409,278322,9999,CORRIGAN,ROAD,TARANTO,DRIVE,26,N
T20150026913,297723,4890,OCEAN,ROAD,DOBLE,STREET,60,NE
T20210019511,700653,9999,STAYNER,STREET,CROSS,ROAD,122,NE
T20210005450,773437,9999,MOOLORT,ROAD,BOUNDARY,ROAD,253,N
T20240033076,41902,9999,ANNE,ROAD,KING,PARADE,,W
T20230026954,66559,9999,COVENTRY,STREET,TOPE,STREET,,W
T20160013136,842,2400,SPRINGVALE,ROAD,CLARKE,ROAD,,N
T20180017383,67558,9999,BATH,PLACE,FERGUSON,STREET,,N
T20120020914,255165,5736,NICHOLSON,STREET,VICTORIA,STREET,31,N
T20180023815,340440,5812,HEIDELBERG,ROAD,HEIDELBERG REV,ROAD SERVICE ROAD,101,W
T20170008337,42385,5304,CENTRE,ROAD,FRANK,AVENUE,,W
T20130007392,48815,5443,HEATHS,ROAD,MARINA,STREET,,E
T20170000418,358531,7116,PLENTY-METROPOLITAN RING OUT,RAMP,METROPOLITAN RING ROAD,PATH,119,E
T20210026731,703233,9999,EICKERTS,LANE,CONNALLYS,LANE,355,SW
T20220008865,710459,9999,RALEIGH,STREET,SANDRA,STREET,,W
T20200003656,41765,5303,WAVERLEY,ROAD,SALADIN,AVENUE,,W
T20240022173,41765,5303,WAVERLEY,ROAD,SALADIN,AVENUE,,W
T20180017043,250526,5814,PLENTY,ROAD,BETULA,AVENUE,,S
T20140023546,278398,9999,LYGON,STREET,QUEEN,STREET,35,N
T20220019817,782463,9999,COMO,PARADE,MENTONE,PARADE,42,NW
T20150004390,282786,5022,SKENES CREEK,ROAD,OZONE,STREET,1166,NE
T20150021888,254929,9999,COOLONG,AVENUE,FESTIVAL,TERRACE,,N
T20150023533,37247,5948,VICTORIA,STREET,SOUTH AUDLEY,STREET,,W
T20230012858,790841,2510,PRINCES HIGHWAY,EAST,LONSDALE,STREET,27,SE
T20220004317,781503,9999,KANOOKA,AVENUE,GIDGEE,AVENUE,33,E
T20240014459,35341,2510,DANDENONG,ROAD,SMITH,STREET,,NW
T20120009069,251350,2000,MONASH,FREEWAY,HEATHERTON-MONASH IN ON,RAMP,287,N
T20130006438,268515,9999,BALNARRING BEACH,ROAD,YORK,AVENUE,136,N
T20240024119,811435,2400,SPRINGVALE,ROAD,TUNSTALL,AVENUE,72,N
T20240011951,803641,2510,YORK,STREET,DAWSON,STREET,45,S
T20140004620,270163,5814,MAIN WHITTLESEA,ROAD,PLENTY,ROAD,79,N
T20130001145,262960,9999,OLD SALE,ROAD,OLD ROSEDALE S ALT,ROAD,65,SW
T20140009768,272053,9999,YANKEE FLAT,ROAD,GRIFFEYS,LANE,,N
T20180011145,318350,9999,HUTTON,STREET,CLAPHAM,STREET,,W
T20150001528,55376,5087,MAIR,STREET,LYDIARD N,STREET,,W
T20160014849,65831,5041,KING,STREET,LA TROBE,STREET,,S
T20190020485,44915,5493,STATION,ROAD,NEALE,ROAD,,S
T20140003121,266828,9999,CARBINE,WAY,AYLMER,ROAD,23,W
T20220026725,737571,2060,NORTH,ROAD,MURRA,STREET,40,E
T20240000101,29688,9999,LIGHTWOOD,ROAD,WARWICK,AVENUE,,NW
T20220002866,57878,2880,METROPOLITAN RING,ROAD,GREENSBOROUGH,BYPASS,,NW
T20220019902,782610,5897,PRINCETOWN,ROAD,MELROSE,ROAD,49,E
T20170007207,316121,5960,SOMERTON,ROAD,GREENVALE PARK,DRIVE,138,E
T20210010739,683148,9999,ELYSEE,AVENUE,TRINITY,WAY,54,SE
T20230015542,776785,9999,MAY,ROAD,CYPRUS,STREET,5,N
T20210002846,71728,9999,BUNA,AVENUE,ROSSLYN,AVENUE,,W
T20130024571,46777,5733,SYDNEY,ROAD,SARGOOD,STREET,,S
T20180014304,337251,4991,MOUNT DANDENONG TOURIST,ROAD,OLINDA,CRESCENT,37,E
T20240001277,777623,9999,POUND,ROAD,SOUTH GIPPSLAND,HIGHWAY,9,W
T20120019746,43516,5765,CRANBOURNE,ROAD,COPROSMA,AVENUE,,SE
T20230025582,802902,2640,WYNDHAM,STREET,GUTHRIE,STREET,,N
T20190023448,604227,9999,BOUVERIE,STREET,CUMBERLAND,PLACE,29,S
T20160004733,300784,2600,PENINSULA LINK,FREEWAY,MORNINGTON PENINSULA OUT-BAYVIEW OF,RAMP,354,NE
T20190003436,343185,5555,BENAMBRA,ROAD,WEIRS,LANE,396,SW
T20180002869,69430,5304,CENTRE,ROAD,OAK,STREET,,W
T20170007523,316262,2460,BEACONSFIELD-NAR NAR GOON,ROAD,DORE,ROAD,230,E
T20250004371,817248,9999,WERRIBEE,STREET,AMBROSE,STREET,,N
T20120001654,48653,9999,BULMANS,ROAD,HIGH,STREET,,N
T20220021965,35381,5499,CHURCH,STREET,KINGSTON,STREET,,N
T20190024655,45070,9999,FERNDALE,ROAD,WESTMORELAND,ROAD,,W
T20130019152,39935,5834,MILLERS,ROAD,MCARTHURS,ROAD,,S
T20210007474,680035,5587,CAPE OTWAY,ROAD,DEVON,ROAD,8,S
T20180006319,328976,5045,PORTLAND-NELSON,ROAD,ROYS,LANE,491,S
T20230006961,40055,9999,LANGRIDGE,STREET,PATTERSON,STREET,,SW
T20240025238,817400,9999,CHAPEL,STREET,QUEENS,WAY,17,N
T20200002677,625168,5840,BEACH,ROAD,SMALL,STREET,182,NW
T20200002872,625810,9999,KAVANAGH,STREET,STURT,STREET,41,SW
T20230021936,781426,9999,KORUMBURRA,ROAD,CYCLONE,STREET,65,E
T20120023550,255673,5982,RIVER,ROAD,MALEY,COURT,,W
T20160017810,307673,9999,BALLARTO,ROAD,CLYDE-FIVE WAYS,ROAD,292,W
T20240030935,815768,9999,KYNETON SPRINGHILL,ROAD,SOUTH SEBASTOPOL,ROAD,2032,S
T20240015369,807104,9999,OLD HAMILTON,ROAD,OSBORNE,ROAD,527,S
T20220018181,721586,5877,SUNSHINE,ROAD,SARA,GROVE,3,E
T20190010059,345680,5290,HEATHCOTE-REDESDALE,ROAD,BURKES,LANE,343,W
T20200019697,78083,9999,AUGHTIE,DRIVE,ALBERT ROAD,DRIVE,1110,S
T20140004667,270084,5313,KEYS,ROAD,HEWITT,STREET,89,W
T20160010479,53323,9999,MOUNTAIN GLEN,DRIVE,OLD GIPPSTOWN,DRIVE,,W
T20250005197,821218,5803,STEPHENSONS,ROAD,ALBERT,STREET,1,N
T20130003123,38608,5603,CHILDS,ROAD,REDLEAP,AVENUE,,SE
T20150011482,35942,5978,MORELAND,ROAD,DE CARLE,STREET,,W
T20200020271,51911,2540,HIGH,STREET,DARLING,STREET,,S
T20180016313,363,9999,CECIL,STREET,DORCAS,STREET,,S
T20210004799,355448,2770,MCIVOR,ROAD,STERNBERG,STREET,,W
T20150004118,36629,9999,PERRY,STREET,WELLINGTON,STREET,,E
T20190018200,332044,9999,COLTMAN,PLAZA,COLTMAN,PLAZA,,N
T20210006377,29783,5817,HIGH,STREET,BROADHURST,AVENUE,,S
T20160003664,42779,5840,BEACH,ROAD,WARRIGAL,ROAD,,NW
T20150010831,35318,9999,LYGON,STREET,QUEENSBERRY,STREET,,N
T20120014248,49662,5060,BACCHUS MARSH,ROAD,PURNELL,ROAD,,S
T20140024753,39774,5781,MT DANDENONG,ROAD,DORSET,ROAD,,W
T20130013174,223351,2090,FRANKSTON-DANDENONG,ROAD,OGRADYS,ROAD,,NE
T20230019468,29619,5899,ELGAR,ROAD,UGANDA,STREET,,S
T20220006249,49318,2770,CHAPEL STREET -MCIVOR,ROAD,MYERS,STREET,,E
T20120015089,41755,5303,WAVERLEY,ROAD,BLACKBURN,ROAD,,W
T20140009970,1323,5500,SYDNEY,ROAD,CAMP,ROAD,,S
T20140001815,1342,5978,MORELAND,ROAD,MORELAND-CITYLINK IN ON,RAMP,,W
T20230030024,36168,5445,SYNNOT,STREET,DUNCANS,ROAD,,E
T20170002782,40096,5932,FITZROY,STREET,PRINCES,STREET,,NE
T20200011012,65831,5041,KING,STREET,LA TROBE,STREET,,S
T20200021774,65831,5041,KING,STREET,LA TROBE,STREET,,S
T20190020200,-1,,,,,,,
T20210013318,686086,9999,WILLMOTT,DRIVE,CREEKWOOD,DRIVE,36,SW
T20190012485,347092,9999,KONAGADERRA,ROAD,HAVELOCK,ROAD,1423,W
T20150018158,604345,5790,MAIN,ROAD,MOUNT PLEASANT,ROAD,,SW
T20170017595,321652,9999,NAGAMBIE-RUSHWORTH,ROAD,CHEONG,ROAD,798,N
T20220019188,782401,5087,MAIR,STREET,DOVETON N,STREET,54,W
T20220012148,713575,9999,RESERVE,ROAD,MIDDLEBOROUGH,ROAD,7,W
T20140013363,42102,5844,BLUFF,ROAD,FEWSTER,ROAD,,S
T20190015747,46818,5430,CROYDON,ROAD,RINGWOOD-WARRANDYTE,ROAD,,W
T20180014042,37480,5840,BEACONSFIELD,PARADE,PHILIPSON,STREET,,NW
T20200009073,652642,2660,NEPEAN,HIGHWAY,NEPEAN,HIGHWAY,26,NW
T20210006621,689721,2996,EASTLINK,,MITCHAM,ROAD,274,NE
T20180006817,329487,2510,PRINCES,HIGHWAY,BENNETTS BROOK,ROAD,408,E
T20240033271,813065,5976,GRANTHAM,STREET,UNION,STREET,50,N
T20190025396,610168,2510,MAIN,STREET,MCKEAN,STREET,14,SW
T20150005084,286485,9999,MONTALBO,ROAD,JARRAH,COURT,64,NW
T20160006040,54194,5799,FERNTREE GULLY,ROAD,SARA,ROAD,,W
T20230021053,801925,9999,ROSE,AVENUE,JANET,STREET,,N
T20240000680,9018,-1,MURRAY,,,,,NK
T20200012186,656026,2510,PRINCES,HIGHWAY,YARRAGON-SHADY CREEK,ROAD,8,W
T20120012402,226265,2290,WELLINGTON,ROAD,EASTLINK IN-WELLINGTON OF,RAMP,29,W
T20180012520,481,5721,HIGH,STREET,CHARLES,STREET,,SW
T20230004333,298913,9999,HUMMINGBIRD,BOULEVARD,EAGLERIDGE,PROMENADE,,W
T20180008324,40912,5796,STUD,ROAD,BLADON,STREET,,SW
T20150024803,29714,5970,HEATHERTON,ROAD,CLEELAND,STREET,,W
T20150018923,39300,5225,WILLIAMSONS,ROAD,DONCASTER,ROAD,,N
T20240032622,815302,5060,BACCHUS MARSH,ROAD,CHISHOLM,ROAD,778,N
T20180010926,11452,5054,KEILOR PARK,DRIVE,WESTERN RING IN-KEILOR PARK OF,RAMP,,N
T20200012028,667515,9999,BOLDREWOOD,PARADE,STRATHMERTON,STREET,,NE
T20160007673,653252,7517,HUME IN-GREAT ALPINE,RAMP,GREAT ALPINE,ROAD,73,NW
T20190019060,815198,9999,SWIFT,DRIVE,BEATRIX,CIRCUIT,86,S
T20140021053,278341,2500,PRINCES,FREEWAY,PRINCES IN-LITTLE RIVER OF,RAMP,390,SW
T20170018260,322262,9999,CARLTON,STREET,CROCKER,STREET,,W
T20180009997,330860,2500,PRINCES,FREEWAY,PRINCES OUT-160 SOUTH OF,RAMP,3044,NE
T20240009699,801709,5781,MT DANDENONG,ROAD,RUSKIN,AVENUE,62,W
T20210008753,681435,9999,GRANGE,ROAD,VOLTRI,STREET,26,N
T20210024969,701831,2530,CALDER,FREEWAY,BULLA-DIGGERS REST,ROAD,14,SE
T20180007585,329770,9999,HAGGARTS,TRACK,HAGGARTS ALT,TRACK,1800,SW
T20120011402,251896,5821,LANCEFIELD,ROAD,ROLLING MEADOWS,DRIVE,,S
T20120016567,41006,5920,BORONIA,ROAD,CYPRESS,AVENUE,83,E
T20140001673,66108,5309,AUBURN,ROAD,MOLESWORTH,STREET,,S
T20240007773,802755,9999,ALMA,ROAD,HAMMERDALE,AVENUE,44,W
T20200023215,670923,2800,CORIO-WAURN PONDS,ROAD,PRINCES,HIGHWAY,20,NE
T20210008864,687777,9999,MONT,STREET,MOROBE,ROAD,179,SE
T20200018327,664668,5310,GLENFERRIE,ROAD,DANDENONG,ROAD,22,N
T20180012632,332262,2580,SOUTH GIPPSLAND,HIGHWAY,SOUTH GIPPSLAND OUT-SOUTH GIPPSLAND OF,RAMP,237,SE
T20140019246,51154,9999,CRAVEN,ROAD,FERGUSON,ROAD,,N
T20180003528,327464,5799,FERNTREE GULLY,ROAD,DAIRY,LANE,,NE
T20220019020,40123,2660,BRIGHTON,ROAD,MOZART,STREET,,NW
T20230015140,776629,5304,CENTRE,ROAD,SPRINGVALE,ROAD,10,W
T20160011334,303788,9999,SANDRINGHAM,PARADE,HOLYROOD,AVENUE,33,W
T20170000327,312669,9999,CROSS,STREET,BEAME,STREET,53,W
T20160012612,304629,2996,EASTLINK,,FERNTREE GULLY,ROAD,51,S
T20140021378,38072,9999,ARUNDEL,AVENUE,CHEDDAR,ROAD,,W
T20160017115,49840,2590,BALLARAT ROAD -CHURCH,STREET,CHURCH,STREET,,SE
T20130014503,52919,5183,GRANT,STREET,MOYLE,STREET,,NW
T20140026680,44460,2140,ALBERT,STREET,GOWER,STREET,,S
T20120004213,41157,9999,MARTIN,STREET,NEW,STREET,,W
T20210010097,264696,5873,CAMP,ROAD,MAIN,ROAD,,W
T20140001748,269861,9999,PATRICK,CLOSE,JULIE,COURT,95,S
T20120024493,255659,5359,GRAHAM,ROAD,PALMER,ROAD,125,W
T20140012150,273308,9999,LOCH,STREET,LOMOND,AVENUE,,W
T20140015157,274501,9999,ALTONA,ROAD,BEACH,STREET,250,NE
T20160005349,300725,5345,REYNOLDS,ROAD,BLACKBURN,ROAD,22,E
T20120017448,254183,9999,CAULSON,CLOSE,WHITE,STREET,,N
T20240023247,810544,9999,GREYTHORN,ROAD,ALPHA,STREET,39,S
T20140025188,280059,9999,DARLING,STREET,HIGH,STREET,51,E
T20150019993,294540,5147,QUEENS,PARADE,RUSHALL,CRESCENT,16,NE
T20230001293,777767,2190,TORQUAY,ROAD,HEYERS,ROAD,18,N
T20190023935,606216,5164,THOMPSON,ROAD,MORNINGTON PENINSULA IN-THOMPSON OF,RAMP,65,E
T20240018249,229668,9999,HERITAGE,BOULEVARD,LIVINGSTONE,BOULEVARD,,N
T20130004107,268266,2660,NEPEAN,HIGHWAY,NEPEAN,HIGHWAY,26,SE
T20200020872,64483,9999,FORREST,STREET,HOLMES,STREET,,W
T20130018227,263177,5113,BRUTHEN-NOWA NOWA,ROAD,DEAD HORSE CREEK,ROAD,396,W
T20160027773,312164,4034,POINT NEPEAN,ROAD,PERMIEN,STREET,86,NE
T20230023476,15359,9999,OHALLORANS,ROAD,PATULLOS,ROAD,,N
T20150017207,41003,5725,GLENROY,ROAD,DOWD,PLACE,,W
T20170022052,324042,4991,MOUNT DANDENONG TOURIST,ROAD,MOUNTAIN VIEW,ROAD,59,SE
T20190011685,57581,5798,WELLINGTON,ROAD,VICTOR,ROAD,,SW
T20230029233,792010,9999,CARDIGAN,STREET,CANADA,LANE,21,S
T20120015666,262479,5820,MICKLEHAM,ROAD,MELROSE,DRIVE,60,N
T20140017536,283148,9999,ANNANDALE,ROAD,ARUNDEL,ROAD,411,E
T20130022019,331490,9999,GOLDIE SPUR,TRACK,BUCKLAND VALLEY,ROAD,2119,W
T20160009827,58923,9999,KITTLES,ROAD,WANGANUI,ROAD,,N
T20120024203,65001,5803,WETHERBY,ROAD,RENSHAW,STREET,,N
T20200002635,42256,5304,CENTRE,ROAD,WARDS,GROVE,,W
T20170005619,225511,2080,PUNT,ROAD,UNION,STREET,,N
T20240004749,798739,2530,CALDER,FREEWAY,WESTERN RING IN-CALDER OUT,RAMP,17,W
T20130007116,259431,9999,EMU,ROAD,GEORGE,STREET,,W
T20140025828,280255,9999,FLINDERS,STREET,NEWCASTLE,STREET,88,W
T20170009189,317256,9999,HARDYS,ROAD,KINGS COVE,BOULEVARD,53,E
T20150001749,281309,5057,HALLAM,ROAD,ENTERPRISE,AVENUE,131,N
T20190019025,301064,9999,SHEARWATER,DRIVE,BLACKWOOD,DRIVE,,W
T20130018106,263393,5301,MURRUMBEENA,ROAD,MERRIC,LANE,15,S
T20240029326,41106,5840,ST KILDA,STREET,BAY,STREET,,N
T20210009975,69347,2060,NORTH,ROAD,MADELEINE,ROAD,,E
T20230021868,781149,2590,MALMSBURY,ROAD,KNOX,STREET,153,NE
T20170000110,312498,9999,TULLAROOP,ROAD,M15,TRACK,514,SE
T20180000514,331425,2590,MIDLAND,HIGHWAY,BENALLA BOUNDARY,ROAD,416,W
T20230010905,779194,9999,RAILWAY,AVENUE,CEMETERY,ROAD,184,SW
T20230017965,797653,9999,FRYERS,STREET,SKENE,STREET,77,W
T20150022957,297412,9999,EILDON-JAMIESON,ROAD,OLD EILDON,ROAD,205,NW
T20210005667,678265,9999,LEARMONTH,STREET,NAPIER,AVENUE,164,S
T20120004240,249800,5973,BOOLARRA SOUTH-MIRBOO NORTH,ROAD,MIRBOO,ROAD,106,NW
T20170009689,38345,9999,CHURCH,ROAD,GEORGE,STREET,,N
T20130022433,97488,9999,SUSSEX,STREET,MARION,STREET,20,S
