ACCIDENT_NO,NODE_ID,ROAD_ROUTE_1,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,DISTANCE_LOCATION,DIRECTION_LOCATION
T20120016103,45171,5520,BALLARAT,ROAD,CASTLEY,CRESCENT,29,E
T20220026625,783167,2230,DANDENONG-HASTINGS,ROAD,DANDENONG-HASTINGS-SOUTH GIPPSLAND OF,RAMP,14,S
T20180014457,68838,9999,ARDYNE,STREET,SECOND,AVENUE,,N
T20160011199,50424,4971,PHILLIP ISLAND,ROAD,WOOLAMAI BEACH,ROAD,,E
T20200016931,662546,9999,CLEARY,ROAD,MERIDIAN,ROAD,694,E
T20170015295,320127,2080,HODDLE,HIGHWAY,VERE,STREET,36,N
T20240020862,809674,2720,MAROONDAH,HIGHWAY,NORTH CREEK,ROAD,923,SE
T20160003337,357765,9999,MCPHERSON,STREET,BOWDEN,STREET,,N
T20250004334,38091,5876,GRANGE,ROAD,WINGROVE,STREET,,N
T20160003847,357776,9999,LA ROCHELLE,BOULEVARD,SANTA CRUZ,VIEW,57,S
T20140025883,279961,2660,NEPEAN,HIGHWAY,GOULD,STREET,86,SE
T20160020118,29972,2640,HIGH,STREET,MELBOURNE,ROAD,,E
T20130002677,29460,2510,KINGS,WAY,STURT,STREET,,NW
T20220012956,783525,2730,BELLARINE,HIGHWAY,WALLINGTON,ROAD,,SE
T20160014959,44313,9999,CHEDDAR,ROAD,PURINUAN,ROAD,,NE
T20220023150,775001,2720,MAROONDAH,HIGHWAY,STATION,STREET,145,S
T20210009162,40860,5804,MITCHAM,ROAD,REDLAND,DRIVE,,N
T20220011178,57430,5462,GORDON,STREET,MEPHAN,STREET,,S
T20200010073,41094,5840,ORMOND,ESPLANADE,BEACH,AVENUE,,NW
T20150000827,29435,2040,MELTON,HIGHWAY,KINGS,ROAD,,E
T20120011927,238583,5083,VICTORIA,PARADE,GISBORNE,STREET,,E
T20160018195,45115,9999,DEVONSHIRE,ROAD,DUKE,STREET,,W
T20230009372,61054,9999,BIRDWOOD,AVENUE,GRANT,STREET,,E
