area_type,n_crashes,fatal_count,fatal_rate,serious_count,serious_rate,avg_hour,fatal_rate_pct,serious_rate_pct
Urban,146813,1484,0.010108096694434417,48658,0.33142841573975057,13.341018847104834,1.01,33.14
Rural,40205,1649,0.041014799154334036,17367,0.4319611988558637,12.933714712100489,4.1,43.2
