day_week_desc,n_crashes_Urban,n_crashes_Rural,fatal_rate_Urban,fatal_rate_Rural,serious_rate_Urban,serious_rate_Rural
Friday,23803,5727,0.009830693610049153,0.04435131831674524,0.32584128051086,0.428147372097084
Monday,20228,5247,0.009689539252521258,0.04230989136649514,0.32791180541823217,0.4202401372212693
Saturday,18958,7091,0.012079333263002427,0.03892257791566775,0.34982593100538034,0.4423917642081512
Sunday,15591,7013,0.011480982618177154,0.039925851989162986,0.3688666538387531,0.4488806502210181
Thursday,23232,5089,0.010287534435261708,0.04303399489094124,0.3224431818181818,0.43151896246806837
Tuesday,22055,4994,0.008886873724778963,0.03924709651581898,0.316345499886647,0.42070484581497797
Wednesday,22946,5044,0.009195502484093088,0.04004758128469469,0.32328074609953805,0.4218873909595559
