Feature,Estimate,Std. Error,z value,Pr(>|z|)
atmosph_cond_descSnowing,-10.679536338516725,84.94666221743914,-0.12572049401046703,0.8999531787087209
(Intercept),-5.047387168383721,1.009487719594934,-4.99994905377257,5.73454648555041e-7
speed_zone075,3.1003626962945385,1.466931424332628,2.1135021343652998,0.03455781252304529
accident_type_descStruck animal,-2.8519173334604715,0.41160351847971793,-6.928797265859625,4.244335294843181e-12
speed_zone090,2.274705058002895,1.0402423565829344,2.1867068223168835,0.02876393325719357
speed_zone100,2.2279275577669098,1.0059115605428999,2.2148344299418095,0.02677143106160078
speed_zone110,2.0371453905749153,1.0135417633916841,2.0099274288983184,0.04443887023238702
speed_zone080,1.6284016380961392,1.0058649381892883,1.6189068494896668,0.10546730691971196
speed_zone070,1.563327916902032,1.0084182483572355,1.5502772975883494,0.12107497389332261
accident_type_descNo collision and no object struck,-1.4585450414292473,0.18861025898125264,-7.733116158725082,1.0494545742732811e-14
speed_zone888,1.287295073092437,1.0500451243838416,1.225942622082848,0.22022026794786637
speed_zone060,1.2613503382712763,1.005044255112762,1.2550196987392934,0.20947160906440093
accident_type_desccollision with some other object,-1.1719836559419299,0.24940080848292334,-4.699197500886115,2.6118577694518395e-6
accident_type_descStruck Pedestrian,1.1612177957654755,0.08105108627933005,14.326986214145455,1.484231568998355e-46
accident_type_descOther accident,-1.0979927811690253,1.0104392581677273,-1.0866489720124914,0.2771919734227782
surface_cond_descSnowy,1.0855742647129776,1.0407489089248465,1.0430702885237115,0.29691574019923284
accident_type_descVehicle overturned (no collision),-1.0844487100620752,0.11913452285003232,-9.102724249185012,8.809387544479113e-20
area_typeUrban,-1.068568409128879,0.0653421274780414,-16.353437672931257,4.1111768853451217e-60
surface_cond_descMuddy,-0.9586718658587258,0.45776730980344194,-2.0942340034511515,0.03623914009815229
surface_cond_descUnk.,-0.9348445479395789,0.2186129666745615,-4.276253884479033,1.9006446090939352e-5
hour_groupNight_Late_Night,0.8353792137191093,0.07182211507128644,11.631225464328928,2.859624660433916e-31
surface_cond_descIcy,-0.8326209400579188,0.45953292236818305,-1.8118852851000158,0.07000392353219816
speed_zone050,0.824862737009437,1.0067101182425102,0.8193647029687773,0.41257836700220973
accident_type_descCollision with vehicle,-0.6186625598994243,0.07135883801308994,-8.66973982656413,4.331088794466542e-18
atmosph_cond_descNot known,-0.560059313515164,0.13183267760102904,-4.24825865412592,2.154385724722993e-5
atmosph_cond_descSmoke,-0.49408409001458253,0.7270313587136703,-0.6795911676887787,0.49676336370687535
atmosph_cond_descDust,-0.403319812747213,0.510306747365205,-0.7903477953791861,0.42932468110215166
hour_groupEvening,0.37112847540039956,0.07233310513981593,5.130824602137963,2.884756237937717e-7
accident_type_descFall from or in moving vehicle,-0.35618637935351083,0.3108598865571638,-1.1458100409748815,0.2518737596200313
speed_zone040,0.35389656160064137,1.0144217564807658,0.3488653110402325,0.7271904287413542
speed_zone777,-0.310550052665075,1.4205087947391972,-0.21861888769375162,0.826946938435762
atmosph_cond_descStrong winds,-0.2960549872883515,0.267884962411349,-1.1051571712851362,0.26909149128800564
atmosph_cond_descRaining,-0.23882623690866603,0.12105898164911487,-1.972808904017509,0.048517338338991134
surface_cond_descWet,-0.21226082788644438,0.09857299001366743,-2.1533366072898246,0.0312922337588782
no_of_vehicles,0.19997434783538903,0.035369467016571766,5.653869416287625,1.568754132315418e-8
speed_zone999,0.1730673093229512,1.023403484239704,0.16910955648301756,0.8657104682071897
hour_groupMorning_Rush,0.11220141140491645,0.06981231576577172,1.607186499605098,0.10801346265331982
day_of_weekSaturday,0.0933258772728094,0.07924293132258757,1.1777186395704118,0.23890879342614466
seasonWinter,0.08267603333300283,0.06335901654890508,1.3048818911068085,0.19193306842547986
day_of_weekSunday,0.07654513699822174,0.0816732735390354,0.9372115709508976,0.3486497389757976
hour_groupMidday,0.07219854391783885,0.06155766712374894,1.1728602998014632,0.2408518321921197
day_of_weekThursday,0.052633128066615395,0.08110920168287411,0.6489168549877206,0.5163921196265355
seasonSpring,0.04363506329459485,0.06244654950146058,0.6987585966391027,0.48470290735546145
day_of_weekWednesday,0.03854933394846279,0.08140482854261802,0.47355095070657865,0.6358201597122788
atmosph_cond_descFog,-0.008603100526221449,0.18521566732076616,-0.04644909715613934,0.962952304843378
seasonSummer,0.0020301539451619056,0.06133634616020787,0.03309871018171236,0.9735958713136796
day_of_weekMonday,-0.0019963721521148526,0.08327653412934344,-0.023972805460589025,0.98087430056999525
day_of_weekTuesday,-0.0017712374234123644,0.08332302249881689,-0.021257479269160145,0.9830402627947111
