Feature,Fatal,Minor,Property_Damage,Serious,MeanDecreaseAccuracy,MeanDecreaseGini
day_of_week,-0.09892294061314913,14.484558035374453,0,-2.674202389128466,8.962547031423561,2254.337102779308
speed_zone,5.749156187798631,20.261272437504847,0,13.955545534054396,48.48579793814371,2146.5684822745075
accident_type_desc,-9.429860038823369,54.401079603650274,0,-15.097009062068421,101.21085513373454,1683.425984114298
hour_group,4.375009156497019,24.341368183169592,0,-2.0609488803422376,19.6849739286054,1613.157201680633
season,-0.6479203137368152,-0.7555980312866866,0,-1.5068245683459183,-1.5376810976498616,1609.1551001418463
no_of_vehicles,-18.954672165669763,29.72741750205605,0,-22.073875752409325,32.74122354055378,1265.7908045617876
atmosph_cond_desc,-6.878174316019947,34.13071742488016,0,-11.2541441454215,38.053955410278675,1255.387223219895
surface_cond_desc,-7.4688272399734155,35.582632992694116,0,-8.285343934080027,41.89342474784423,1094.6379304700113
area_type,7.317676371486675,24.440208214339602,0,5.721816330643874,45.1343728798351,559.0026768082859
