area_type,total_crashes,fatal_rate,serious_rate,minor_rate,property_damage_rate
Urban,146813,0.010108096694434417,0.33142841573975057,0.658443053408077,2.0434157738074966e-5
Rural,40205,0.041014799154334036,0.4319611988558637,0.5269991294615097,2.4872528292500934e-5
