hour_group,n_crashes_Urban,n_crashes_Rural,fatal_rate_Urban,fatal_rate_Rural,serious_rate_Urban,serious_rate_Rural
Afternoon Rush (15-18),47119,11120,0.007300664275557631,0.03830935251798561,0.30862284853243915,0.435341726618705
Evening (19-22),18937,4596,0.013729735438559433,0.044168842471714535,0.35607540793156256,0.44321148825065276
Midday (10-14),41060,13835,0.00847540185094983,0.03606794362125045,0.32586458840720894,0.42428623057462955
Morning Rush (6-9),28673,6753,0.008788755972517699,0.03909373611728121,0.32452132668363964,0.41611135791500076
Night/Late Night (23-5),11024,3901,0.02539912917271408,0.06588054345039733,0.42525399129172714,0.4637272494232248
